661,Mike Balenti
662,Wladimir Balentien
663,Collin Balester
664,Lee Bales
665,Grant Balfour
666,Jeff Ballard
667,Art Ball
668,Jay Baller
669,Pelham Ballenger
670,Mark Ballinger
671,Jeff Ball
672,Jim Ball
673,Neal Ball
674,Win Ballou
675,Tony Balsamo
676,George Bamberger
677,Hal Bamberger
678,Studs Bancker
679,Dave Bancroft
680,Frank Bancroft
681,Chris Bando
682,Sal Bando
683,Eddie Bane
684,Dick Baney
685,Jeff Banister
686,Dan Bankhead
687,Scott Bankhead
688,Bill Yerrick
689,Brian Banks
690,Ernie Banks
691,Bill Bankston
692,George Banks
693,Josh Banks
694,Wes Bankston
695,Willie Banks
696,Alan Bannister
697,Brian Bannister
698,Floyd Bannister
699,Jim Banning
700,Jimmy Bannon
701,Tom Bannon
702,Jack Banta
703,Brandon Bantz
704,Travis Baptist
705,Rod Barajas
706,Red Barbary
707,Walter Barbare
708,Bret Barberie
709,Brian Barber
710,Charlie Barber
711,Dave Barbee
712,Frank Barberich
713,Jap Barbeau
714,Steve Barber
715,Steve Barber
716,Turner Barber
717,Jim Barbieri
718,Lorenzo Barcelo
719,Curt Barclay
720,George Barclay
721,Daniel Bard
722,Brian Barden
723,Josh Bard
724,Ray Bare
725,Jesse Barfield
726,John Barfield
727,Josh Barfield
728,Clyde Barfoot
729,Greg Bargar
730,Cy Barger
731,Brian Bark
732,Al Barker
733,Andy Barkett
734,Glen Barker
735,Kevin Barker
736,Len Barker
737,Ray Barker
738,Richie Barker
739,Sean Barker
740,Brian Barkley
741,Jeff Barkley
742,Red Barkley
743,Sam Barkley
744,Al Barlick
745,Mike Barlow
746,Tom Barlow
747,Bruce Barmes
748,Clint Barmes
749,Babe Barna
750,Charlie Barnabe
751,Bill Barnes
752,Bob Barnes
753,Brian Barnes
754,Brandon Barnes
755,Darwin Barney
756,Ed Barney
757,Eppie Barnes
758,Frank Barnes
759,Frank Barnes
760,Honey Barnes
761,Jesse Barnes
762,John Barnes
763,Junie Barnes
764,Larry Barnes
765,Lute Barnes
766,Matt Barnes
767,Red Barnes
768,Rex Barney
769,Rich Barnes
770,Ross Barnes
771,Sam Barnes
772,Scott Barnes
773,Skeeter Barnes
